Player,Team,Pos,G,MP,G,MP,PER,TS%,eFG%,3PAr,FTr,ORB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg▲,,OWS,DWS,WS,WS/40
Awak Kuier,DAL,F,37,399,37,399,10.3,0.462,0.407,0.253,0.297,6.4,13.4,7,0.9,5.3,17.6,13.2,95,105,,0,0.5,0.4,0.044
Marine Johannes,NYL,G,35,662,35,662,10.1,0.556,0.544,0.707,0.093,1.4,4.3,13.2,1.8,0.2,17.4,18.2,99,105,,0.3,0.8,1,0.062
Naz Hillmon,ATL,F,40,541,40,541,11.7,0.587,0.509,0.009,0.466,10.4,14.2,8,0.7,0.5,21.8,14.5,107,105,,0.7,0.6,1.2,0.092
Natisha Hiedeman,CON,G,40,1066,40,1066,9.3,0.507,0.486,0.513,0.146,0.9,4.7,15.7,1.7,0.3,14.6,16.7,97,105,,0.2,1.3,1.5,0.055
Tiffany Hayes,CON,G,40,1082,40,1082,16,0.59,0.544,0.371,0.357,4.2,6.6,16.4,1.6,0.3,12.1,19.5,114,105,,2.9,1.3,4.2,0.154
Arella Guirantes,SEA,G,9,47,9,47,4.8,0.33,0.281,0.375,0.313,2.4,7.2,10.5,1.1,7.2,14.2,20,69,105,,-0.2,0.1,-0.1,-0.11
Allisha Gray,ATL,G,38,1244,38,1244,18.8,0.578,0.51,0.251,0.435,4.2,8.4,17.3,1.6,1,11.2,22.2,113,105,,3.5,1.4,5,0.161
Dulcy Fankam Mendjiadeu,SEA,F-C,33,470,33,470,12.3,0.538,0.523,0.009,0.374,13.8,18,4.4,1.4,2,18.9,14.5,102,105,,0.4,0.5,0.9,0.075
Stefanie Dolson,NYL,C,23,273,23,273,11.1,0.627,0.603,0.382,0.206,5.7,9.4,14.8,0.2,1.8,22.1,15.5,109,105,,0.4,0.3,0.7,0.108
Layshia Clarendon,LAS,G,24,687,24,687,14.7,0.61,0.552,0.238,0.306,3.9,6.4,21,2,0,19.8,18.2,108,105,,1.1,0.7,1.9,0.108
Rae Burrell,LAS,G-F,29,322,29,322,10.7,0.513,0.473,0.441,0.226,4.7,6.8,9.4,2.1,0.9,12.8,16.7,98,105,,0.1,0.4,0.5,0.06
Gabby Williams,SEA,F,10,285,10,285,10.3,0.421,0.388,0.245,0.138,5.5,7.2,23.2,2.6,1.2,18.1,18.9,88,106,,-0.3,0.3,-0.1,-0.01
Brianna Turner,PHO,F,40,1052,40,1052,9.9,0.646,0.65,0,0.117,6,14.9,7.4,1.9,3.5,35.7,7.5,97,106,,0.1,1.1,1.1,0.043
Kristi Toliver,WAS,G,11,99,11,99,8.1,0.485,0.462,0.718,0.128,1.2,4.8,13.7,1.5,0,14.5,22.3,88,106,,-0.1,0.1,0,-0.01
Karlie Samuelson,LAS,G,34,888,34,888,11.9,0.654,0.602,0.65,0.288,1.4,6.9,12.4,1.3,0.3,13.1,11.8,120,106,,1.9,0.9,2.8,0.124
Danielle Robinson,ATL,G,32,690,32,690,10.7,0.534,0.49,0.201,0.312,1.3,5.6,24,1.6,0.4,19.7,13.8,103,106,,0.5,0.7,1.2,0.071
