Rk,Player,eFGp,AST,TOV,G,Season,Age,Team,G,GS,AS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Player-additional
14,Rebekah Gardner,0.577,44,55,35,2022,31,CHI,35,2,0,760,116,214,101,172,15,42,48,60,44,71,115,44,49,19,55,81,295,0.542,0.587,0.357,0.8,0.614,0.577,G,gardnre01
15,Crystal Robinson,0.572,49,46,32,1999,25,NYL,32,9,0,901,125,285,49,111,76,174,49,58,38,51,89,49,44,11,46,78,375,0.439,0.441,0.437,0.845,0.604,0.572,F,robincr03
16,Andrea Congreaves,0.571,41,31,28,1997,27,CHA,28,16,0,658,63,126,45,82,18,44,43,56,40,93,133,41,16,5,31,52,187,0.5,0.549,0.409,0.768,0.621,0.571,F-C,congran01
17,Nikolina Milic,0.57,23,42,31,2022,28,MIN,31,4,0,364,74,135,68,113,6,22,31,42,46,47,93,23,10,8,42,57,185,0.548,0.602,0.273,0.738,0.603,0.57,F,milicni01
18,Tamika Williams,0.568,51,74,31,2002,22,MIN,31,31,0,1023,124,221,121,210,3,11,63,108,96,133,229,51,44,13,74,57,314,0.561,0.576,0.273,0.583,0.585,0.568,F,willita02
19,Alaina Coates,0.568,13,17,32,2018,23,CHI,32,0,0,364,42,74,42,74,0,0,25,40,39,63,102,13,6,7,17,58,109,0.568,0.568,,0.625,0.595,0.568,C,coateal01
20,Jonquel Jones,0.566,22,25,34,2016,22,CON,34,6,0,479,85,160,74,127,11,33,51,69,61,65,126,22,22,38,25,72,232,0.531,0.583,0.333,0.739,0.609,0.566,C,jonesjo04
21,Charisse Sampson,0.564,11,14,21,2000,25,SEA,21,6,0,280,22,47,13,24,9,23,25,28,14,27,41,11,18,6,14,37,78,0.468,0.542,0.391,0.893,0.657,0.564,G,sampsch01
22,Nina Bjedov,0.56,17,26,27,1999,27,LAS,27,0,0,431,52,100,44,81,8,19,9,18,21,49,70,17,9,22,26,60,121,0.52,0.543,0.421,0.5,0.561,0.56,C,bjedoni01
23,Devereaux Peters,0.56,33,39,30,2012,22,MIN,30,2,0,424,61,109,61,109,0,0,36,51,44,69,113,33,14,23,39,74,158,0.56,0.56,,0.706,0.601,0.56,F,peterde01
24,Olivia Nelson-Ododa,0.56,11,30,30,2022,21,LAS,30,6,0,436,47,84,47,84,0,0,26,37,34,55,89,11,9,24,30,77,120,0.56,0.56,,0.703,0.598,0.56,C,nelsool01
25,Monique Akoa-Makani,0.558,55,29,21,2025,24,PHO,21,21,0,441,63,138,35,73,28,65,26,26,14,28,42,55,21,1,29,58,180,0.457,0.479,0.431,1,0.602,0.558,G,akoamo01
26,Jenna O'Hea,0.558,40,26,31,2011,24,LAS,31,5,0,507,49,113,21,50,28,63,22,28,15,32,47,40,12,5,26,46,148,0.434,0.42,0.444,0.786,0.59,0.558,F,oheaje01
27,Brittney Griner,0.556,28,47,27,2013,22,PHO,27,27,1,699,139,250,139,250,0,0,63,87,37,134,171,28,13,81,47,80,341,0.556,0.556,,0.724,0.591,0.556,C,grinebr01
28,Imani McGee-Stafford,0.554,18,28,31,2016,21,CHI,31,16,0,587,87,157,87,157,0,0,33,50,54,121,175,18,19,42,28,94,207,0.554,0.554,,0.66,0.578,0.554,C,boyetim01
29,Maria Kliundikova,0.554,11,12,25,2018,19,LAS,25,0,0,204,39,74,35,62,4,12,9,12,18,37,55,11,9,11,12,45,91,0.527,0.565,0.333,0.75,0.574,0.554,F,vadeema01
30,Sika Koné,0.553,10,21,20,2023,20,CHI,20,0,0,186,25,47,23,41,2,6,20,26,22,37,59,10,3,1,21,34,72,0.532,0.561,0.333,0.769,0.616,0.553,F,konesi01
31,Cynthia Cooper,0.553,131,109,28,1997,34,HOU,28,28,0,982,191,406,124,244,67,162,172,199,33,78,111,131,59,6,109,68,621,0.47,0.508,0.414,0.864,0.629,0.553,G,coopecy01
32,Greta Koss,0.552,10,18,13,1997,23,UTA,13,10,0,268,15,29,13,26,2,3,12,16,12,25,37,10,9,4,18,15,44,0.517,0.5,0.667,0.75,0.61,0.552,F,kossgr01
33,Natalie Achonwa,0.55,17,37,28,2015,22,IND,28,17,0,484,88,160,88,160,0,0,47,63,40,57,97,17,14,13,37,58,223,0.55,0.55,,0.746,0.594,0.55,F,achonna01
