"team","opponent","date","hca","points","fga","orb","tov","fta","opp_points","opp_fga","opp_orb","opp_tov","opp_fta"
"Georgia Tech","Georgia Tech",2024-11-25,-1,74,73,23,2,14,74,73,23,2,14
"Goshen","Goshen",2024-11-25,-1,41,51,9,0,14,41,51,9,0,14
"Hampton","Eastern Kentucky",2024-11-25,1,55,55,3,0,24,69,56,6,0,11
"Indiana","North Carolina",2024-11-25,1,39,55,8,2,5,69,61,15,0,13
"Jacksonville State","Sewanee",2024-11-25,1,114,85,26,1,13,47,56,8,0,16
"Kansas State","Kansas State",2024-11-25,-1,62,54,10,2,16,62,54,10,2,16
"LSU","Washington",2024-11-25,1,68,76,27,1,21,67,59,10,1,10
"Lindenwood","Lindenwood",2024-11-25,-1,79,57,7,0,19,79,57,7,0,19
"Lipscomb","Lipscomb",2024-11-25,-1,60,56,8,0,8,60,56,8,0,8
"Macalester","Macalester",2024-11-25,-1,43,53,9,0,13,43,53,9,0,13
"Maryland Eastern Shore","Maryland Eastern Shore",2024-11-25,-1,62,48,11,1,25,62,48,11,1,25
"Missouri","Missouri",2024-11-25,-1,59,55,12,2,19,59,55,12,2,19
"NC State","NC State",2024-11-25,-1,77,56,10,0,30,77,56,10,0,30
"North Alabama","Cumberland (TN)",2024-11-25,1,87,70,21,0,29,48,65,11,2,10
"North Carolina","North Carolina",2024-11-25,-1,69,61,15,0,13,69,61,15,0,13
"North Carolina A&T","North Carolina Central",2024-11-25,1,62,67,20,1,15,39,55,12,1,14
