"season","team","conf","W","L","wpct","playoff"
2019,"Las Vegas Aces","w",21,13,0.61764705882353,TRUE
2019,"Minnesota Lynx","w",18,16,0.529411764705882,TRUE
2019,"Seattle Storm","w",18,16,0.529411764705882,TRUE
2019,"Phoenix Mercury","w",15,19,0.441176470588235,TRUE
2019,"Dallas Wings","w",10,24,0.294117647058824,FALSE
2020,"Chicago Sky","e",12,10,0.545454545454545,TRUE
2020,"Connecticut Sun","e",10,12,0.454545454545455,TRUE
2020,"Washington Mystics","e",9,13,0.409090909090909,TRUE
2020,"Atlanta Dream","e",7,15,0.318181818181818,FALSE
2020,"Indiana Fever","e",6,16,0.272727272727273,FALSE
2020,"New York Liberty","e",2,20,0.0909090909090909,FALSE
2020,"Las Vegas Aces","w",18,4,0.818181818181818,TRUE
2020,"Seattle Storm","w",18,4,0.818181818181818,TRUE
2020,"Los Angeles Sparks","w",15,7,0.681818181818182,TRUE
2020,"Minnesota Lynx","w",14,8,0.636363636363636,TRUE
2020,"Phoenix Mercury","w",13,9,0.590909090909091,TRUE
2020,"Dallas Wings","w",8,14,0.363636363636364,FALSE
2021,"Connecticut Sun","e",26,6,0.8125,TRUE
2021,"Chicago Sky","e",16,16,0.5,TRUE
2021,"New York Liberty","e",12,20,0.375,TRUE
2021,"Washington Mystics","e",12,20,0.375,FALSE
2021,"Atlanta Dream","e",8,24,0.25,FALSE
2021,"Indiana Fever","e",6,26,0.1875,FALSE
2021,"Las Vegas Aces","w",24,8,0.75,TRUE
2021,"Minnesota Lynx","w",22,10,0.6875,TRUE
2021,"Seattle Storm","w",21,11,0.65625,TRUE
2021,"Phoenix Mercury","w",19,13,0.59375,TRUE
2021,"Dallas Wings","w",14,18,0.4375,TRUE
2021,"Los Angeles Sparks","w",12,20,0.375,FALSE
2022,"Chicago Sky","e",26,10,0.722222222222222,TRUE
2022,"Connecticut Sun","e",25,11,0.694444444444444,TRUE
2022,"Washington Mystics","e",22,14,0.611111111111111,TRUE
2022,"New York Liberty","e",16,20,0.444444444444444,TRUE
2022,"Atlanta Dream","e",14,22,0.388888888888889,FALSE
2022,"Indiana Fever","e",5,31,0.138888888888889,FALSE
2022,"Las Vegas Aces","w",26,10,0.722222222222222,TRUE
2022,"Seattle Storm","w",22,14,0.611111111111111,TRUE
2022,"Dallas Wings","w",18,18,0.5,TRUE
2022,"Phoenix Mercury","w",15,21,0.416666666666667,TRUE
2022,"Minnesota Lynx","w",14,22,0.388888888888889,FALSE
2022,"Los Angeles Sparks","w",13,23,0.361111111111111,FALSE
2023,"New York Liberty","e",32,8,0.8,TRUE
2023,"Connecticut Sun","e",27,13,0.675,TRUE
2023,"Atlanta Dream","e",19,21,0.475,TRUE
2023,"Washington Mystics","e",19,21,0.475,TRUE
2023,"Chicago Sky","e",18,22,0.45,TRUE
2023,"Indiana Fever","e",13,27,0.325,FALSE
2023,"Las Vegas Aces","w",34,6,0.85,TRUE
2023,"Dallas Wings","w",22,18,0.55,TRUE
2023,"Minnesota Lynx","w",19,21,0.475,TRUE
2023,"Los Angeles Sparks","w",17,23,0.425,FALSE
2023,"Seattle Storm","w",11,29,0.275,FALSE
2023,"Phoenix Mercury","w",9,31,0.225,FALSE
2024,"New York Liberty","e",32,8,0.8,TRUE
2024,"Connecticut Sun","e",28,12,0.7,TRUE
2024,"Indiana Fever","e",20,20,0.5,TRUE
2024,"Atlanta Dream","e",15,25,0.375,TRUE
2024,"Washington Mystics","e",14,26,0.35,FALSE
2024,"Chicago Sky","e",13,27,0.325,FALSE
2024,"Minnesota Lynx","w",30,10,0.75,TRUE
2024,"Las Vegas Aces","w",27,13,0.675,TRUE
2024,"Seattle Storm","w",25,15,0.625,TRUE
2024,"Phoenix Mercury","w",19,21,0.475,TRUE
2024,"Dallas Wings","w",9,31,0.225,FALSE
2024,"Los Angeles Sparks","w",8,32,0.2,FALSE
2025,"Atlanta Dream","e",30,14,0.681818181818182,TRUE
2025,"New York Liberty","e",27,17,0.613636363636364,TRUE
2025,"Indiana Fever","e",24,20,0.545454545454545,TRUE
2025,"Washington Mystics","e",16,28,0.363636363636364,FALSE
2025,"Connecticut Sun","e",11,33,0.25,FALSE
2025,"Chicago Sky","e",10,34,0.227272727272727,FALSE
2025,"Minnesota Lynx","w",34,10,0.772727272727273,TRUE
2025,"Las Vegas Aces","w",30,14,0.681818181818182,TRUE
2025,"Phoenix Mercury","w",27,17,0.613636363636364,TRUE
2025,"Golden State Valkyries","w",23,21,0.522727272727273,TRUE
2025,"Seattle Storm","w",23,21,0.522727272727273,TRUE
2025,"Los Angeles Sparks","w",21,23,0.477272727272727,FALSE
2025,"Dallas Wings","w",10,34,0.227272727272727,FALSE
