"season","series_idx","round","opening","fmt","bestof","winner","w_seed","wW","wL","loser","l_seed","lW","lL","ww","wl","comparable","higher_won"
2020,2,"Semifinals",FALSE,"bo5",5,"Las Vegas Aces","1",18,4,"Connecticut Sun","7",10,12,3,2,TRUE,TRUE
2020,3,"Semifinals",FALSE,"bo5",5,"Seattle Storm","2",18,4,"Minnesota Lynx","4",14,8,3,0,TRUE,TRUE
2020,4,"Second Round",FALSE,"single game",1,"Connecticut Sun","7",10,12,"Los Angeles Sparks","3",15,7,1,0,TRUE,FALSE
2020,5,"Second Round",FALSE,"single game",1,"Minnesota Lynx","4",14,8,"Phoenix Mercury","5",13,9,1,0,TRUE,TRUE
2020,6,"First Round",TRUE,"single game",1,"Connecticut Sun","7",10,12,"Chicago Sky","6",12,10,1,0,TRUE,FALSE
2020,7,"First Round",TRUE,"single game",1,"Phoenix Mercury","5",13,9,"Washington Mystics","8",9,13,1,0,TRUE,TRUE
2021,1,"Finals",FALSE,"bo5",5,"Chicago Sky","6",16,16,"Phoenix Mercury","5",19,13,3,1,TRUE,FALSE
2021,2,"Semifinals",FALSE,"bo5",5,"Chicago Sky","6",16,16,"Connecticut Sun","1",26,6,3,1,TRUE,FALSE
2021,3,"Semifinals",FALSE,"bo5",5,"Phoenix Mercury","5",19,13,"Las Vegas Aces","2",24,8,3,2,TRUE,FALSE
2021,4,"Second Round",FALSE,"single game",1,"Chicago Sky","6",16,16,"Minnesota Lynx","3",22,10,1,0,TRUE,FALSE
2021,5,"Second Round",FALSE,"single game",1,"Phoenix Mercury","5",19,13,"Seattle Storm","4",21,11,1,0,TRUE,FALSE
2021,6,"First Round",TRUE,"single game",1,"Chicago Sky","6",16,16,"Dallas Wings","7",14,18,1,0,TRUE,TRUE
2021,7,"First Round",TRUE,"single game",1,"Phoenix Mercury","5",19,13,"New York Liberty","8",12,20,1,0,TRUE,TRUE
2022,1,"Finals",FALSE,"bo5",5,"Las Vegas Aces","1",26,10,"Connecticut Sun","3",25,11,3,1,TRUE,TRUE
2022,2,"Semifinals",FALSE,"bo5",5,"Connecticut Sun","3",25,11,"Chicago Sky","2",26,10,3,2,TRUE,FALSE
2022,3,"Semifinals",FALSE,"bo5",5,"Las Vegas Aces","1",26,10,"Seattle Storm","4",22,14,3,1,TRUE,TRUE
2022,4,"First Round",TRUE,"bo3 2-1 (22-24)",3,"Chicago Sky","2",26,10,"New York Liberty","7",16,20,2,1,TRUE,TRUE
2022,5,"First Round",TRUE,"bo3 2-1 (22-24)",3,"Connecticut Sun","3",25,11,"Dallas Wings","6",18,18,2,1,TRUE,TRUE
2022,6,"First Round",TRUE,"bo3 2-1 (22-24)",3,"Las Vegas Aces","1",26,10,"Phoenix Mercury","8",15,21,2,0,TRUE,TRUE
