"season","series_idx","round","fmt","game","away","away_pts","home","home_pts","higher","home_is_higher","home_won"
2009,7,"Western Conference Semifinals","bo3 1-2 (98-09)",1,"Phoenix Mercury",91,"San Antonio Silver Stars",92,"Phoenix Mercury",FALSE,TRUE
2009,7,"Western Conference Semifinals","bo3 1-2 (98-09)",2,"San Antonio Silver Stars",78,"Phoenix Mercury",106,"Phoenix Mercury",TRUE,TRUE
2009,7,"Western Conference Semifinals","bo3 1-2 (98-09)",3,"San Antonio Silver Stars",92,"Phoenix Mercury",100,"Phoenix Mercury",TRUE,TRUE
2010,2,"Eastern Conference Finals","bo3 1-1-1 (10-15)",1,"Atlanta Dream",81,"New York Liberty",75,"New York Liberty",TRUE,FALSE
2010,2,"Eastern Conference Finals","bo3 1-1-1 (10-15)",2,"New York Liberty",93,"Atlanta Dream",105,"New York Liberty",FALSE,TRUE
2010,3,"Western Conference Finals","bo3 1-1-1 (10-15)",1,"Phoenix Mercury",74,"Seattle Storm",82,"Seattle Storm",TRUE,TRUE
2010,3,"Western Conference Finals","bo3 1-1-1 (10-15)",2,"Seattle Storm",91,"Phoenix Mercury",88,"Seattle Storm",FALSE,FALSE
2010,4,"Eastern Conference Semifinals","bo3 1-1-1 (10-15)",1,"Atlanta Dream",95,"Washington Mystics",90,"Washington Mystics",TRUE,FALSE
2010,4,"Eastern Conference Semifinals","bo3 1-1-1 (10-15)",2,"Washington Mystics",77,"Atlanta Dream",101,"Washington Mystics",FALSE,TRUE
2010,5,"Eastern Conference Semifinals","bo3 1-1-1 (10-15)",1,"Indiana Fever",73,"New York Liberty",85,"New York Liberty",TRUE,TRUE
