Rk,Team,AP#,Date,PTS,,Opp,OppAP#,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
230,Florida,-,2025-02-06,-18,,Alabama,23,L 66-84,200,25,75,0.333,21,56,0.375,4,19,0.211,12,14,0.857,66,32,62,0.516,20,39,0.513,12,23,0.522,8,11,0.727,84,-7,+13,-0.183,+1,+17,-0.138,-8,-4,-0.311,+4,+3,+.130,-18
231,Georgetown,-,2025-01-11,-18,,Connecticut,7,L 55-73,200,19,56,0.339,9,30,0.3,10,26,0.385,7,9,0.778,55,31,58,0.534,21,32,0.656,10,26,0.385,1,2,0.5,73,-12,-2,-0.195,-12,-2,-0.356,0,0,0,+6,+7,+.278,-18
232,Georgia,-,2025-03-06,-18,N,Oklahoma,10,L 52-70,200,21,74,0.284,17,54,0.315,4,20,0.2,6,9,0.667,52,29,64,0.453,23,36,0.639,6,28,0.214,6,11,0.545,70,-8,+10,-0.169,-6,+18,-0.324,-2,-8,-0.014,0,-2,+.121,-18
233,Illinois–Chicago,-,2024-12-19,-18,,Louisiana State,5,L 73-91,200,25,62,0.403,14,38,0.368,11,24,0.458,12,16,0.75,73,32,67,0.478,24,50,0.48,8,17,0.471,19,26,0.731,91,-7,-5,-0.074,-10,-12,-0.112,+3,+7,-0.012,-7,-10,+.019,-18
234,Illinois,-,2025-01-19,-18,,Michigan State,22,L 68-86,200,21,46,0.457,21,38,0.553,0,8,0,26,34,0.765,68,34,66,0.515,29,52,0.558,5,14,0.357,13,15,0.867,86,-13,-20,-0.059,-8,-14,-0.005,-5,-6,-0.357,+13,+19,-0.102,-18
235,Louisville,-,2025-02-02,-18,,Notre Dame,3,L 71-89,200,24,67,0.358,17,51,0.333,7,16,0.438,16,21,0.762,71,33,60,0.55,27,40,0.675,6,20,0.3,17,20,0.85,89,-9,+7,-0.192,-10,+11,-0.342,+1,-4,+.138,-1,+1,-0.088,-18
236,New Mexico State,-,2024-12-29,-18,@,Oklahoma,9,L 64-82,200,25,60,0.417,18,42,0.429,7,18,0.389,7,10,0.7,64,33,76,0.434,24,49,0.49,9,27,0.333,7,11,0.636,82,-8,-16,-0.018,-6,-7,-0.061,-2,-9,+.056,0,-1,+.064,-18
237,Oregon,-,2025-02-06,-18,,Maryland,16,L 61-79,200,19,59,0.322,11,38,0.289,8,21,0.381,15,19,0.789,61,25,46,0.543,16,26,0.615,9,20,0.45,20,23,0.87,79,-6,+13,-0.221,-5,+12,-0.326,-1,+1,-0.069,-5,-4,-0.08,-18
238,Purdue,-,2025-01-01,-18,@,Michigan State,21,L 59-77,200,24,58,0.414,17,40,0.425,7,18,0.389,4,4,1,59,27,73,0.37,20,42,0.476,7,31,0.226,16,25,0.64,77,-3,-15,+.044,-3,-2,-0.051,0,-13,+.163,-12,-21,+.360,-18
239,Rutgers,-,2025-01-23,-18,,UCLA,1,L 66-84,200,24,68,0.353,18,48,0.375,6,20,0.3,12,14,0.857,66,32,70,0.457,23,41,0.561,9,29,0.31,11,15,0.733,84,-8,-2,-0.104,-5,+7,-0.186,-3,-9,-0.01,+1,-1,+.124,-18
